,ID,filename,sentence_id,text,space_type
49,,Theodor_Storm_-_Der_Schimmelreiter_(1888),-1,"Und wirklich, einen Augenblick, als eine schwarze Wolkenschicht es pechfinster um mich machte und gleichzeitig die heulenden Böen mich samt meiner Stute vom Deich herabzudrängen suchten, fuhr es mir wohl durch den Kopf: ›Sei kein Narr! Kehr um und setz dich zu deinen Freunden ins warme Nest.",perceived_space
50,,Ludwig_Ganghofer_-_Der_Ochsenkrieg_(1914).txt,-1,Er lupfte ihn aus dem Bett heraus und stellte ihn aufrecht hin .,action_space
51,,,-1,"Plötzlich war es, als höre er hinter sich einen dumpfen
Ton, wie wenn etwas niedergelegt würde – er sah um: wirklich waren Palette und
Malerstab weggelegt, und die Jungfrau saß im Stuhle rückgelehnt, die beiden
Hände fest vor ihr Antlitz drückend.",perceived_space
52,,Joseph_Roth_-_Rechts_und_Links_(1929).txt,23,"Und durch die Löcher und Sparren des hölzernen Gerüsts sahen die Leute
den kahl gewordenen Garten der Bernheims, das gelbe Haus, der brütenden Leere
preisgegeben, und ein Unmut erfaßte sie, als wären es ihr Haus und ihre Mauer
und ihre Bäume gewesen.",perceived_space
53,,Joseph_von_Eichendorff_-_Viel_Lärmen_um_Nichts_(1833).txt,602,"Er fuhr wieder fort: »Wie ich
nun so aus der Tür in das Dunkel hinausstarre, schlängelt sich plötzlich ein
Blitz über den Zinnen, und ich erblicke mit Grausen in der Tür, welche aus dem
gegenüberstehenden Schloßflügel auf den Hof hinausführte, das tote Fräulein mit
demselben grünen Gewände und funkelnden Gürtel, wie ich sie in jenem Gemache
gesehen, stumm und regungslos aufgerichtet, das Gesicht leichenweiß und
unbeweglich;",perceived_space
54,,Ödön_von_Horváth_-_Ein_Kind_unserer_Zeit_(1938).txt,670,"Obwohl ich euch persönlich nicht riechen kann, muß mans doch der Gerechtigkeit
halber anerkennen: Ihr habt ganze Arbeit geleistet!",no_space
55,,Johann_Gabriel_Seidl_-_Cornelia_Fieramonti_(1842).txt,37,"Dort wartete bereits mein Bursche mit einer Sedia, drang mir noch
Pistolen und Säbel auf, machte das Kreuz über mich, als ob ich in die Schlacht
zöge, und ich schwang mich hinauf, stopfte mir meine Pfeife, mahnte den 
Vetturin zur Eile und dachte nun weiter an nichts mehr, als wie freundlich mir,
beim ersten Sonnenstrahle, vom Balkone des Gartenhauses meine schöne Cornelia
entgegensehen werde.",action_space
56,,Theodor_Storm_-_Eine_Halligfahrt_(1871).txt,392,"Er wohnte damals noch in seinem eigenen Hause, das dicht neben der
Stadt in einem baumreichen Garten gelegen war.",descriptive_space
57,,Jakob_Wassermann_-_Christian_Wahnschaffe_(1919).txt,-1,Der Weg schien weit ; er erregte Ungeduld in ihr .,perceived_space
58,,Theodor_Storm_-_Viola_Tricolor_(1873).txt,431,Vor ihr erhob sich ein großes Tor;,descriptive_space
59,,,-1,"Sie schauten sich erst nach allen Seiten um, eine Allee von wilden Kastanien
führte nach dem Tor, man konnte bis in den gepflasterten Hof und im Hofe einen
Brunnen und Galerien rings an dem alten Hause sehen, es rührte sich aber nichts
darin.",visual_space
60,,Arthur_Schnitzler_-_Der_Weg_ins_Freie_(1908).txt,20,Er stand am Fenster und blickte hinaus.,visual_space
61,,Curt_Grottewitz_-_Sonntage_eines_Großstädters_in_der_Natur_(1906).txt,70,Die Bachrinne erweiterte sich schließlich zu einem größeren Tale.,descriptive_space
62,,Joseph_von_Eichendorff_-_Viel_Lärmen_um_Nichts_(1833).txt,576,"Das Schloß bildete ein vollständig geschlossenes
Viereck, an dessen innerer Seite eine von mancherlei kleinen Treppen und Erkern
verworren unterbrochne steinerne Galerie herumlief, auf welche die Türen, zum
Teil auch einzelne Fenster der Gemächer hinausgingen.",descriptive_space
63,,Hugo_Marti_-_Das_Haus_am_Haff_(1922).txt,2146,"Klaus schnallte sich wieder die Schlittschuhe an die Füße und fuhr in einem
großen Bogen quer über 152 die Bucht nach dem Damm von Agilla hinüber.",action_space
64,,Hermann_Sudermann_-_Die_Reise_nach_Tilsit_(1917).txt,610,"Wie sie auf dem Wege zu der inneren Stadt an dem » Anger « vorbeikommen , jenem großen , häuserbestandenen Sandplatz , auf dem die Vieh- und Pferdemärkte abgehalten werden , da hören sie aus dem Gebüsch , das den Spazierweg umgibt , lustiges Leierkastengedudel und sehen den Glanz von Purpur und von Flittern durch die Zweige schimmern .",perceived_space
65,,ETA_Hoffmann_-_Ritter_Gluck_(1809).txt,246,"Seine Stimme schien die eines
Jünglings, denn von tiefer Dumpfheit schwoll sie empor zur durchdringenden
Stärke.",no_space
66,,Ida_Boy-Ed_-_Vor_der_Ehe_(1915).txt,5093,"Am Abend war man in dem großen, verandaartigen Raum des Kurhauses.",action_space
67,,Ludwig_Steub_-_Benno_und_Kriemhilde_(1879).txt,238,"»Diese Bäume verdecken eine schiefe Halde, welche
noch eine Zeitlang grün und bewachsen bleibt und dann in eine hohe Wand
übergeht, die etwas unwegsam –-«",descriptive_space
68,,"Hermann_Heiberg_-_Einer,_wie_viele_(1896).txt",114,"»Es muß
werden, wie der Himmel will.",no_space
69,,Franz_Kafka_-_Der_Prozeß_(1925).txt,27,"Durch das offene Fenster erblickte
man wieder die alte Frau, die mit wahrhaft greisenhafter Neugierde zu dem jetzt
gegenüberliegenden Fenster getreten war, um auch weiterhin alles zu sehen.",visual_space
70,,Oskar_Panizza_-_Der_operierte_Jud'_(1893).txt,325,"Oh, dann schmeiß dieses Buch in die Ecke, wenn du ein Mann bist,
und spuck' es aus!",action_space
71,,Fritz_Reuter_-_Memoiren_eines_alten_Fliegenschimmels_(1855).txt,409,"Die Lembke'sche Familie, Borchert mit
eingeschlossen, saß vor der Thür.",descriptive_space
72,,Max_Eyth_-_Der_Schneider_von_Ulm_(1906).txt,230,"Neben demselben stand ein kleines , aufgespanntes Reißbrett , das die ziemlich rohe und völlig unverständliche Zeichnung einer Maschine zeigte , vor der , den Kopf in beiden Händen , das spärliche , wirre Haar von Zeit zu Zeit nach oben streichend , der Schulmeister auf einem Kistchen saß. ",descriptive_space
73,,Joseph_Roth_-_Die_Kapuzinergruft_(1938).txt,29,"Auf seinem Grabstein stehen die
stillen und stolzen Worte: »Hier ruht der Held von Solferino.«",descriptive_space
74,,,-1,"Es war jetzt schon so dämmerig, daß man den Mondschein deutlich sehen konnte und den feinen Schatten, den die Ecke der Gasse auf den  Hang legte.",perceived_space
75,,Richard_Voß_-_Felice_Leste_(1889).txt,22,"An den Wänden, die ein beinahe cyklopisches Mauergefüge
aufwiesen, hingen lange Schnüre weißlicher Zwiebeln, getrockneter,
purpurfarbener Liebesäpfel und goldgelber Maiskolben, auf dem braunen Grund
eine farbenprächtige Mosaik bildend.",descriptive_space
76,,Joseph_von_Eichendorff_-_Auch_ich_war_in_Arkadien!_(1834).txt,270,"Dazwischen raste der Sturm, Besen flogen, tiefer unten krähte der
rote Hahn wieder, bliesen die sieben Pfeifer, schrie der Wirt, die Bühne suchte
die alte Freiheit und rührte und reckte sich in wilde Nebelqualme auseinander,
ein entsetzliches übermenschliches Lachen ging durch die Lüfte, der ganze Berg
schien auf einmal sich in die Runde zu drehen, erst langsam, dann geschwinder
und immer geschwinder – mir vergingen die Gedanken, ich stürzte besinnungslos
zu Boden.",perceived_space
77,,Franz_Dingelstedt_-_Die_neuen_Argonauten_(1839).txt,1048,"Der Kandidat streckte sich selig, aber
müde in einem Sinnwinkelchen aus, wie man sie nur auf Schiffen finden kann,
unter alten Tauenden, ein Stückchen blauen Himmels über dem Haupte, den Hauch
der Sommernacht um die heiße Stirn und verschwommenes Wellengeplätscher an den
seufzenden Planken.",perceived_space
78,,Bertha_Pappenheim_-_Erzählungen_(1933).txt,1111,"Er holte eine handvoll davon heraus und mit wunderbarer Schnelle begann
er zu formen, zu kneten und mit Hilfe eines Holzspans, der auf dem Boden lag,
entstand plötzlich zwischen seinen Fingern auf einer Kreuzform ein menschlicher
Körper in der üblichen Stellung des gekreuzigten Christus.",action_space
79,,Gabriele_Reuter_-_Aus_guter_Familie_(1895).txt,4127,"Indem Agathe die letzte steile Treppe erklomm, fühlte sie plötzlich, dasselbe
Leiden, von dem ihre Mutter lange Jahre hindurch heimgesucht war;",perceived_space
80,,ETA_Hoffmann_-_Das_fremde_Kind_(1817).txt,115,"Nur eine Tüte mit
Bonbons legte Felix mit Verachtung beiseite, und als Christlieb bat den
gläsernen Zucker doch wenigstens nicht zum Fenster herauszuwerfen, wie er es
eben tun wollte, ließ er zwar davon ab, öffnete aber die Tüte und warf einige
Bonbons dem Sultan hin, der indessen hineingeschwänzelt war.",action_space
81,,Theodor_Storm_-_Zur_Chronik_von_Grieshuus_(1884).txt,374,"Von droben aus dem Hause, gegen die kleinen Fensterscheiben, pochte eine
schwache Hand, und »Bärbe! Bärbe!« scholl es wie mühsam von einer matten
Stimme.",perceived_space
82,,Adalbert_Stifter_-_Bunte_Steine_(1853).txt,110,"Zu
andern Zeiten sah ich auf der Straße, die nahe an dem Hause vorübergeht, bald
einen Erntewagen, bald eine Herde, bald einen Hausierer vorüberziehen.",visual_space
83,,Franz_Kafka_-_Die_Verwandlung_(1916).txt,21,Er glitt wieder in seine frühere Lage zurück.,action_space
84,,Annemarie_Schwarzenbach_-_Freunde_um_Bernhard_(1931).txt,1339,"Bernhard liegt vor dem Feuer in Géralds Zimmer , das mattgraue Wände mit schmalen Holzleisten hat und einen Teppich , in welchem die Schritte lautlos versinken .",descriptive_space
85,,Heinrich_Albert_Oppermann_-_Hundert_Jahre_(1870).txt,6770,"Von dem Fenster , woran ich sitze , sehe ich auf den ersten dieser Flüsse , der etwa so breit ist als die Themse bei London .",visual_space
86,,Gustav_Freytag_-_Die_Ahnen_(1872).txt,-1,"Dem Feind gehörte die ganze
Provinz, nur im Süden widerstand noch ein schmaler Landstrich: die Festungen an
Österreichs Grenze und die Berge der Grafschaft Glatz;",descriptive_space
87,,Franz_Kafka_-_Der_Prozeß_(1925).txt,218,"Darum
wiederholte er auch: »Wie kann ich denn in die Bank gehen, da ich verhaftet
bin?«",no_space
88,,Joseph_von_Eichendorff_-_Eine_Meerfahrt_(1835).txt,6,"Von der Spitze des Verdecks aber schaute der fröhliche Don Antonio
tief aufatmend in das fremde Meer hinaus, ein armer Student aus Salamanca, der
von der Schule neugierig mitgefahren war, um die Welt zu sehen.",visual_space
89,,"Hermann_Heiberg_-_Einer,_wie_viele_(1896).txt",92,"In diesem Augenblick erscholl gerade aus jener Gegend ein lauter,
durchdringender Wehruf durch die schweigende Nacht, und angstvoll horchte der
alte Mann hinüber und faßte sich an das zitternde Herz.",perceived_space
90,,Ludwig_Ganghofer_-_Der_Ochsenkrieg_(1914).txt,6605,"Der Herzog gab den Brief an Gleslin , der mit einer Schere die verlötete Kante abzuzwicken begann .",action_space
91,,Therese_Rie_-_Die_Geschichte_der_schoenen_Simonetta_(1916).txt,226,"Sie hätte rufen können
und rief nicht.",no_space
92,,Johann_Wolfgang_von_Goethe_-_Wilhelm_Meisters_Wanderjahre_(1821).txt,77,Er stieg aufwärts und verspätete sich dadurch den Sonnenuntergang.,action_space
93,,Leopold_Kompert_-_Der_Dorfgeher_(1851).txt,526,"»Trinken und tanzen und juchezen kann er, nicht wahr?« meinte der Dorfgeher mit
Bitterkeit, »und ich verstör' ihm seinen Sonntag, wenn ich ihm eine alte Weste
oder Schnupftuch aus meinem Pack, wie Ihr sagt, thu' verkaufen?",no_space
94,,Joseph_von_Eichendorff_-_Eine_Meerfahrt_(1835).txt,4,"Das Schiff hatte eben nicht das
beste Aussehen, der Wind pfiff wie zum Spott durch die Löcher in den Segeln,
aber die Mannschaft, lumpig, tapfer und allezeit vergnügt, fragte wenig
darnach, sie fuhren immerzu und wollten mit Gewalt neue Länder entdecken.",perceived_space
95,,Moritz_Heimann_-_Die_Tobias-Vase_(1921).txt,5,"An einem Frühjahrsabend stand der Pfarrer eines kleinen märkischen Dorfes an dem Zaun seines Hofes und sah einem Bretterwagen nach , der eben von dem Sand auf die gepflasterte Straße klomm und sich auf dieser klappernd entfernte .",visual_space
96,,Franz_Kafka_-_Amerika_(1927).txt,852,"Und hier standen so viele Zimmer leer und waren nur dazu da , um hohl zu klingen , wenn man an die Tür schlug .",perceived_space
97,,Paul_Ernst_-_Saat_auf_Hoffnung_(1916).txt,4133,"Wenn ich dafür bestraft
werde, dann ist die Strafe verdient.",no_space
98,,Arthur_Holitscher_-_Schlafwandler_(1919).txt,1443,"Sie flogen, zu einer Wolke geballt,
pfeilschnell und in großen Kurven erst dem Sund zu, gerieten dort in eine
Luftströmung, die sie auf das Wasser niederzupressen drohte, sammelten sich
aber rasch aus der Zerstreuung und stießen, ungefähr über der Südspitze der
Insel, in kugelförmigem Gebilde wieder hoch nach oben.",action_space
99,,Max_Eyth_-_Der_Schneider_von_Ulm_(1906).txt,-1,Von der Stadt in ihrem nächtlichen Dunst war kaum ein Giebel zu sehen .,perceived_space
100,,Walther_Kabel_-_Der_seltsame_Milliardär_(1933).txt,782,"Albert Elsen hatte soeben, indem er frische Holzscheite in den Kamin warf,
unwillig geäußert: »Ihr nehmt die Sache zu leicht ... Daß »er« nun gerade mit
dem Menschen sich zusammengetan hat, erfordert allergrößte Wachsamkeit.«",action_space
101,,Theodor_Storm_-_Waldwinkel_(1874).txt,69,"– – Einige Minuten später saßen beide am grünen Tisch in dem nebenan liegenden
Gerichtszimmer.",action_space
102,,Hugo_Marti_-_Das_Haus_am_Haff_(1922).txt,2172,"wir hatten kaum Zeit,
die Netze auf den Schlitten zu werfen und das Pferd zu wenden.«",action_space
103,,Arthur_Schnitzler_-_Der_Weg_ins_Freie_(1908).txt,13,"Georg dachte an eines der letzten Gespräche mit dem Vater, das im Spätfrühling
stattgefunden hatte, kurz vor der Übersiedlung in die Villa am Veldeser See.",no_space
104,,Robert_Schweichel_-_Die_Falkner_von_St._Vigil_(1881).txt,-1,Golden standen die Kornfelder in dem Tal und auf den unteren Berghängen .,descriptive_space
105,,Berthold_Auerbach_-_Das_Landhaus_am_Rhein_-_Band_II_(1869).txt,1874,"Der Knabe schien heute überaus redselig, und als der
Champagner knallte und Bella auf das Wohl Manna's anstieß, sagte er zu
Prancken:",no_space
106,,Jakob_Wassermann_-_Die_Juden_von_Zirndorf_(1897).txt,4367,Tiefes Schweigen herrschte in dem verödeten Haus.,perceived_space
107,,Christoph_von_Schmid_-_Der_Weihnachtsabend_(1825).txt,314,"An den Obstbäumen, die mein Dach
umgeben, hängen keine Äpfel und Birnen mehr, und es ist kein grünes Blatt mehr
daran zu sehen;",perceived_space
108,,Arthur_Schnitzler_-_Der_Weg_ins_Freie_(1908).txt,222,"Auch Felician erschien
zuweilen, schlank und schön, blickte mit seinen kalten, grauen Augen an Dingen
und Menschen vorbei, sprach ein paar höfliche Worte, halblaut, beinahe
wegwerfend, und setzte sich ans Bett seiner Mutter, der er zärtlich die Hand
streichelte und küßte.",no_space
109,,Moritz_Heimann_-_Die_Tobias-Vase_(1921).txt,180,"Die hohen Schränke verstärkten den Eindruck , der sonst wohl fast bedrückend sein mochte : jetzt aber stand die Vase da und sandte die lustigen , kräftigen Feuer ihrer Farben verschwenderisch nach allen Seiten .",perceived_space
110,,Max_Dauthendey_-_Dalar_rächt_sich_(1909).txt,46,Dalar grübelte.,no_space
111,,Ernst_von_Wolzogen_-_Die_Gloriahose_und_andere_Novellen_(1897).txt,1442,"In dumpfer Verzweiflung ergab ich mich in
mein Schicksal und versuchte, zu schlafen.",no_space
112,,Arthur_Schnitzler_-_Der_Weg_ins_Freie_(1908).txt,16,"nicht
einmal das schwermütige Adagio war niedergeschrieben, das er in Palermo, an
einem bewegten Morgen am Ufer spazierengehend, aus dem Rauschen der Wellen
herausgehört hatte.",no_space
113,,Stanislaw_Przybyszewski_-_Epipsychidion_-_Introibo_(1900).txt,251,"Die fernsten Räume hat sie nahe gerückt,
eiserne Regenbogen über klaffende Abgründe geworfen, Berge hat sie durchbohrt,
die Erde durchwühlt und ihr Gewässer in neue Betten geleitet.",perceived_space
